Date,ORDCI Development  Activity Index ,ORDCI Development Activity Index (7DMA),Pulse Scores ,Core Index Price
12/13/2019,315.2136752,262.002442,46.29565953,769.28
12/14/2019,72.30769231,267.9242979,47.88564611,749.12
12/15/2019,47.69230769,268.9133089,48.893129,755.31
12/16/2019,298.1196581,268.1074481,49.36153956,751.11
12/17/2019,307.5213675,265.0915751,51.28484468,705.8
12/18/2019,289.5726496,260.8547009,55.01829566,716.87
12/19/2019,261.8803419,254.6764347,55.82997716,746.07
12/20/2019,214.8717949,248.3638584,56.40101026,747.18
12/21/2019,62.90598291,242.991453,57.06128176,745.94
12/22/2019,42.90598291,243.980464,57.48886605,751.78
12/23/2019,184.6153846,242.4664225,57.79372766,791.03
12/24/2019,101.8803419,227.7289377,54.98225293,758.12
12/25/2019,30.94017094,210.7326007,51.11767882,748.39
12/26/2019,51.45299145,187.1550672,49.46867131,753.35
12/27/2019,112.1367521,162.991453,47.8992838,755.34
12/28/2019,43.76068376,148.4859585,46.48323036,763.52
12/29/2019,43.41880342,146.4468864,45.61180566,774.56
12/30/2019,144.1025641,146.1416361,44.63155933,760.49
12/31/2019,77.77777778,135.1404151,43.68173218,754.5
1/1/2020,34.7008547,118.7301587,42.26817668,759.05
1/2/2020,215.3846154,100.5250305,40.6203965,748.14
1/3/2020,251.965812,97.2039072,41.1360794,768.31
1/4/2020,68.71794872,99.85347985,41.08312992,768.7
1/5/2020,55.55555556,100.2686203,41.0952955,785.16
1/6/2020,275.5555556,101.1721612,40.85853804,792.68
1/7/2020,311.4529915,107.6678877,43.28721099,814.57
1/8/2020,273.3333333,122.6373626,46.66210232,865.06
1/9/2020,352.4786325,139.95116,49.20825408,826.43
1/10/2020,289.9145299,161.4529915,50.28628468,847.19
1/11/2020,45.81196581,174.1514042,50.58688198,851.21
1/12/2020,34.52991453,174.2979243,50.04466896,857.18
1/13/2020,290.5982906,173.6630037,49.35702041,849.33
1/14/2020,294.8717949,184.1269841,50.85031387,922.1
1/15/2020,302.3931624,199.6336996,52.66217257,928.62
1/16/2020,305.4700855,218.7545788,53.92817294,924.09
1/17/2020,242.3931624,225.1892552,53.47568557,942.55
1/18/2020,61.53846154,224.5054945,54.22133392,950.86
1/19/2020,28.03418803,223.992674,54.9194483,919.08
1/20/2020,285.982906,222.026862,55.67634259,925.56
1/21/2020,255.2136752,222.7716728,52.16576585,923.18
1/22/2020,316.2393162,218.7545788,48.84740561,923.78
1/23/2020,329.0598291,221.8192918,47.75272028,892.39
1/24/2020,260,220.1465201,44.97926159,905.25
1/25/2020,55.04273504,218.009768,42.30158281,886.94
1/26/2020,34.35897436,218.6691087,41.13201262,901.83
1/27/2020,308.7179487,218.6568987,40.00772299,939
1/28/2020,284.6153846,219.95116,41.01627349,962.16
1/29/2020,313.3333333,219.2185592,41.93730988,988.7
1/30/2020,321.7094017,220,42.72015572,1001.79
1/31/2020,254.3589744,221.1599512,45.24092484,997.72
2/1/2020,497.0940171,222.014652,47.28581129,999.87
2/2/2020,423.2478632,253.1257631,48.14473593,1018.36
2/3/2020,368.2051282,281.3553114,50.99492572,996.94
2/4/2020,358.974359,287.2283272,50.51550114,991.34
2/5/2020,296.5811966,294.6398046,51.15507349,1028.61
2/6/2020,373.8461538,293.2356532,52.55747793,1064.86
