,asset,time,HashRate,ReferenceRateUSD
104,btc,2015-04-15 00:00:00+00:00,299875.196425587,219.757236703682
105,btc,2015-04-16 00:00:00+00:00,339203.091038779,223.313907948568
106,btc,2015-04-17 00:00:00+00:00,309707.170078885,228.493815312683
107,btc,2015-04-18 00:00:00+00:00,358867.038345374,222.785060198714
108,btc,2015-04-19 00:00:00+00:00,351846.074225004,223.398044126242
109,btc,2015-04-20 00:00:00+00:00,364477.035874265,223.284135300994
110,btc,2015-04-21 00:00:00+00:00,362110.301875082,224.894903565167
111,btc,2015-04-22 00:00:00+00:00,359743.567875898,234.939356516657
112,btc,2015-04-23 00:00:00+00:00,307675.41989386,233.822418760958
113,btc,2015-04-24 00:00:00+00:00,293475.015898758,235.933293687902
114,btc,2015-04-25 00:00:00+00:00,385777.641866917,231.458592343659
115,btc,2015-04-26 00:00:00+00:00,340809.69588243,226.445992986558
116,btc,2015-04-27 00:00:00+00:00,324242.557888145,220.503406779661
117,btc,2015-04-28 00:00:00+00:00,362110.301875082,227.325990356517
118,btc,2015-04-29 00:00:00+00:00,300575.217896309,225.549368790181
119,btc,2015-04-30 00:00:00+00:00,317142.355890594,225.66928842782
120,btc,2015-05-01 00:00:00+00:00,350276.631879164,236.327976037405
121,btc,2015-05-02 00:00:00+00:00,347909.89787998,232.746582700175
122,btc,2015-05-03 00:00:00+00:00,333776.412541361,235.540077147867
123,btc,2015-05-04 00:00:00+00:00,303150.868676707,240.464248977206
124,btc,2015-05-05 00:00:00+00:00,364728.388876663,238.976661309176
125,btc,2015-05-06 00:00:00+00:00,381306.952007421,236.02338340152
126,btc,2015-05-07 00:00:00+00:00,333939.628776685,229.481219300429
127,btc,2015-05-08 00:00:00+00:00,355254.924230516,237.130687317358
128,btc,2015-05-09 00:00:00+00:00,305519.234838243,244.383472822911
129,btc,2015-05-10 00:00:00+00:00,305519.234838243,242.705950029223
130,btc,2015-05-11 00:00:00+00:00,374201.85352281,240.731483927528
