Date,SPX Index,LUATTRUU Index,BBDXY Index,BCOM Index,COIN50I Index,XBTUSD BGN Curncy,XAU Curncy,FEDL01 Index
3/21/2021,3913.1,2448.3,1140.26,84.5202,250.26,58410.01,1745.23,0.07
3/22/2021,3940.59,2455.23,1139.24,84.6687,243.16,54554.83,1739.03,0.07
3/23/2021,3910.52,2462.65,1146.26,83.1803,233.79,54447.56,1727.07,0.07
3/24/2021,3889.14,2465.78,1149.49,84.3452,237.27,54050.57,1734.69,0.07
3/25/2021,3909.52,2462.33,1150.69,82.9932,214.95,52001.01,1726.93,0.07
3/26/2021,3974.54,2458.03,1148.11,84.1319,225.67,54002.49,1732.52,0.07
3/27/2021,3974.54,2458.03,1148.11,84.1319,225.67,54002.49,1732.52,0.07
3/28/2021,3974.54,2458.03,1148.11,84.1319,225.67,54002.49,1732.52,0.07
3/29/2021,3971.09,2452.46,1150.33,83.9328,245.25,57234.35,1712.2,0.07
3/30/2021,3958.55,2453.74,1154.39,82.7525,249.12,58673.67,1685.2,0.07
3/31/2021,3972.89,2450.55,1152.19,83.4445,248.37,58960.2,1707.71,0.06
4/1/2021,4019.87,2458.93,1148.66,83.8339,254.38,58859.78,1729.31,0.07
4/2/2021,4019.87,2451.97,1148.66,83.8339,261.41,58674.76,1728.87,0.07
4/3/2021,4019.87,2451.97,1148.66,83.8339,261.41,58674.76,1728.87,0.07
4/4/2021,4019.87,2451.97,1148.66,83.8339,261.41,58674.76,1728.87,0.07
4/5/2021,4077.91,2455.05,1145.32,83.0088,266.08,58799.14,1728.27,0.07
4/6/2021,4073.94,2462.27,1142.77,83.6052,262.94,58243.87,1743.27,0.07
4/7/2021,4079.95,2459.33,1145.24,83.7649,254.54,56227.64,1737.72,0.07
4/8/2021,4097.17,2465.26,1141.12,84.3968,260.44,57679.16,1755.84,0.07
4/9/2021,4128.8,2461.64,1142.58,84.0279,264.02,58333.6,1743.88,0.07
4/10/2021,4128.8,2461.64,1142.58,84.0279,264.02,58333.6,1743.88,0.07
4/11/2021,4128.8,2461.64,1142.58,84.0279,264.02,58333.6,1743.88,0.07
4/12/2021,4127.99,2460.58,1142.42,83.5819,271.13,59977.92,1732.76,0.07
4/13/2021,4141.59,2466.82,1139.07,84.3167,286.91,63193.56,1745.51,0.07
4/14/2021,4124.66,2464.6,1136.83,85.8804,291.03,62384.19,1736.43,0.07
4/15/2021,4170.42,2475.87,1135.88,86.5611,300.75,63410.29,1763.95,0.07
4/16/2021,4185.47,2470.67,1134.56,86.5268,304.41,62005.42,1776.51,0.07
4/17/2021,4185.47,2470.67,1134.56,86.5268,304.41,62005.42,1776.51,0.07
4/18/2021,4185.47,2470.67,1134.56,86.5268,304.41,62005.42,1776.51,0.07
4/19/2021,4163.26,2469.5,1129.75,86.7849,275.49,56210.89,1771.43,0.07
4/20/2021,4134.94,2474.11,1132.08,86.9782,276.31,56800.5,1778.75,0.07
4/21/2021,4173.42,2475.2,1130.2,87.2667,288.66,54996.31,1793.79,0.07
4/22/2021,4134.98,2477.17,1132.63,87.9709,291.36,51593.44,1783.94,0.07
4/23/2021,4180.17,2474.93,1127.65,88.4025,257.57,50567.72,1777.2,0.07
4/24/2021,4180.17,2474.93,1127.65,88.4025,257.57,50567.72,1777.2,0.07
4/25/2021,4180.17,2474.93,1127.65,88.4025,257.57,50567.72,1777.2,0.07
4/26/2021,4187.62,2473.71,1126.81,89.5237,279.38,53262.87,1781.38,0.07
4/27/2021,4186.72,2467.26,1129.13,90.0768,291.9,55192.62,1776.6,0.07
4/28/2021,4183.18,2469.2,1124.82,90.1887,294.68,54438.68,1781.68,0.07
4/29/2021,4211.47,2466.94,1125.28,90.1666,296.61,52990.9,1772.18,0.06
4/30/2021,4181.17,2468.93,1133.12,90.361,302.2,56814.44,1769.13,0.05
5/1/2021,4181.17,2468.93,1133.12,90.361,302.2,56814.44,1769.13,0.05
5/2/2021,4181.17,2468.93,1133.12,90.361,302.2,56814.44,1769.13,0.05
5/3/2021,4192.66,2470.58,1129.41,90.9651,328.77,56811.66,1792.88,0.06
5/4/2021,4164.66,2474.02,1132.66,91.6533,334.06,54770.39,1779.06,0.06
5/5/2021,4167.59,2476.27,1132.25,92.2249,348.82,56895.44,1786.87,0.06
5/6/2021,4201.62,2477.09,1127.12,92.8708,360.65,55955.47,1815.22,0.06
5/7/2021,4232.6,2476.3,1119.51,93.7349,363.41,57684.39,1831.24,0.06
5/8/2021,4232.6,2476.3,1119.51,93.7349,363.41,57684.39,1831.24,0.06
5/9/2021,4232.6,2476.3,1119.51,93.7349,363.41,57684.39,1831.24,0.06
5/10/2021,4188.43,2470.89,1119.06,93.1553,375.8,55308.81,1836.07,0.06
5/11/2021,4152.1,2467.2,1119.14,93.865,370,56911.32,1837.47,0.06
5/12/2021,4063.04,2458.56,1126.68,93.8772,387.02,54482.81,1815.69,0.06
5/13/2021,4112.5,2461.55,1125.03,91.7009,349.78,49312.81,1826.72,0.06
5/14/2021,4173.85,2466.48,1121.04,91.9824,369.45,49193.56,1843.43,0.06
5/15/2021,4173.85,2466.48,1121.04,91.9824,369.45,49193.56,1843.43,0.06
5/16/2021,4173.85,2466.48,1121.04,91.9824,369.45,49193.56,1843.43,0.06
5/17/2021,4163.29,2464.88,1119.31,93.2504,322,44816.08,1866.9,0.06
5/18/2021,4127.83,2464.48,1115.51,93.1516,315.91,43294.36,1869.44,0.06
5/19/2021,4115.68,2460.75,1120.82,91.4413,252,38336.11,1869.62,0.06
5/20/2021,4159.12,2467.51,1115.96,90.8886,280.52,40078.49,1877.21,0.06
