,asset,time,HashRate,ReferenceRateUSD
64,btc,2014-03-06 00:00:00+00:00,32814.7539847296,670.338851099514
65,btc,2014-03-07 00:00:00+00:00,31486.9893726308,667.712834003507
66,btc,2014-03-08 00:00:00+00:00,31866.3506903733,631.770295213326
67,btc,2014-03-09 00:00:00+00:00,33952.8379379573,621.524114496201
68,btc,2014-03-10 00:00:00+00:00,28262.4181718192,640.578889322034
69,btc,2014-03-11 00:00:00+00:00,31866.3506903733,628.151241165985
70,btc,2014-03-12 00:00:00+00:00,34521.8799145711,633.73383823495
71,btc,2014-03-13 00:00:00+00:00,34076.0838232155,634.646823717125
72,btc,2014-03-14 00:00:00+00:00,28100.1706779259,643.432100859147
73,btc,2014-03-15 00:00:00+00:00,34861.1139989306,628.308590005845
74,btc,2014-03-16 00:00:00+00:00,36128.7908716189,636.218650061368
75,btc,2014-03-17 00:00:00+00:00,34015.996083805,634.168900970894
76,btc,2014-03-18 00:00:00+00:00,30846.803902084,622.760208649912
77,btc,2014-03-19 00:00:00+00:00,33804.7166050236,614.309513717125
78,btc,2014-03-20 00:00:00+00:00,37396.4677443073,610.511203474576
79,btc,2014-03-21 00:00:00+00:00,39297.9830533399,586.607595710111
80,btc,2014-03-22 00:00:00+00:00,35917.5113928376,569.694517995324
81,btc,2014-03-23 00:00:00+00:00,45213.808459219,564.700026703682
82,btc,2014-03-24 00:00:00+00:00,40096.6711219624,558.958861691408
83,btc,2014-03-25 00:00:00+00:00,39076.1052123166,585.023250518995
84,btc,2014-03-26 00:00:00+00:00,39573.8899920914,583.771189094097
85,btc,2014-03-27 00:00:00+00:00,43058.3834505145,579.243850400994
86,btc,2014-03-28 00:00:00+00:00,43307.2758404019,483.164012612507
87,btc,2014-03-29 00:00:00+00:00,43556.1682302893,498.661328949153
88,btc,2014-03-30 00:00:00+00:00,34844.9345842314,489.517023547633
89,btc,2014-03-31 00:00:00+00:00,44800.6301797261,458.966328275862
90,btc,2014-04-01 00:00:00+00:00,42560.5986707398,455.355354056108
91,btc,2014-04-02 00:00:00+00:00,49031.8008078114,479.008465867913
92,btc,2014-04-03 00:00:00+00:00,50774.047537023,439.011492524839
